Date,NDX Close,QQQ Close,TQQQ Close,QQQ Return,Synthetic TQQQ Return,QQQ Source,TQQQ Source,NDX Classification
1938-04-23,2.19,0.046510494429755064,5.9090864544781006e-05,-0.009049773755656187,-0.026941284765022392,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-25,2.16,0.045873364369073494,5.668646794051278e-05,-0.013698630136986134,-0.040689819361943366,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-26,2.11,0.04481148093460419,5.279574473183107e-05,-0.02314814814814825,-0.06863583761762533,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-27,2.13,0.045236234308391916,5.426635808313832e-05,0.009478672985782088,0.027854770470178487,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-28,2.07,0.04396197418702876,4.973595539159154e-05,-0.028169014084507116,-0.08348455381151727,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-29,2.07,0.04396197418702876,4.9727128714302095e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-04-30,2.05,0.043537220813241045,4.8297404255672e-05,-0.009661835748792202,-0.028751397790214097,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-02,2.03,0.04311246743945332,4.6895322505336534e-05,-0.00975609756097573,-0.02903016781012229,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-03,2.08,0.04417435087392262,5.030296780740113e-05,0.024630541871921263,0.07266492946448577,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-04,2.11,0.04481148093460419,5.243970497123267e-05,0.014423076923076872,0.04247735783726819,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-05,2.11,0.04481148093460419,5.2430398457478375e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-06,2.2,0.04672287111664893,5.90349306910183e-05,0.04265402843601929,0.1259676147396872,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-07,2.2,0.04672287111664893,5.90244537176112e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-09,2.24,0.047572377864224365,6.218777869324948e-05,0.018181818181818077,0.05359346468113974,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-10,2.2,0.04672287111664893,5.889255956014113e-05,-0.017857142857142794,-0.05298821090495197,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-11,2.22,0.04714762449043665,6.046546186217743e-05,0.009090909090909038,0.026707996965729248,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-12,2.2,0.04672287111664893,5.8843734213968566e-05,-0.009009009009009028,-0.02682072704423239,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-13,2.16,0.045873364369073494,5.566920853941584e-05,-0.0181818181818183,-0.05394840618050288,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-14,2.17,0.04608574105596735,5.642153350352998e-05,0.004629629629629539,0.013514202623907245,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-16,2.13,0.045236234308391916,5.333573922714748e-05,-0.018433179723502224,-0.05469178316802517,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
